unique_id,min_date,max_date,lifetime,n_records,n_zero,% zero,n_consecutive_weeks,ok_zeros,ok_2years,ok_sales_last_2months,time_series
03493299,2017-05-22,2023-02-13,299.0,300,130.0,43.3,11,0,1,1,0
03493299NM,2021-05-17,2023-02-20,92.0,93,23.0,24.7,13,0,0,1,0
03944401,2017-05-22,2023-02-27,301.0,302,43.0,14.2,26,1,1,1,1
04218012,2016-01-11,2019-12-09,204.0,205,148.0,72.2,10,0,1,0,0
06110301,2015-12-07,2023-02-27,377.0,378,60.0,15.9,41,1,1,1,1
06110301D,2016-09-19,2023-02-13,334.0,335,227.0,67.8,10,0,1,1,0
06110302,2016-02-01,2023-02-27,369.0,370,128.0,34.6,28,0,1,1,0
06112001,2016-02-29,2023-01-16,359.0,360,163.0,45.3,14,0,1,1,0
06115501,2016-08-22,2023-02-27,340.0,341,187.0,54.8,9,0,1,1,0
06116201,2016-01-04,2023-02-27,373.0,374,60.0,16.0,36,1,1,1,1
06116209,2017-05-01,2023-02-13,302.0,303,130.0,42.9,14,0,1,1,0
06116701,2016-06-06,2023-02-27,351.0,352,88.0,25.0,26,0,1,1,0
06117001,2015-12-21,2023-02-27,375.0,376,25.0,6.6,111,1,1,1,1
06117201,2016-01-04,2023-01-30,369.0,370,24.0,6.5,68,1,1,1,1
06117202,2016-03-28,2023-01-09,354.0,355,137.0,38.6,12,0,1,0,0
06117209,2015-12-21,2023-01-30,371.0,372,16.0,4.3,141,1,1,1,1
