,id,model,rmse,mae,wape_m
640,130337,mean,4,3.5,87.2
641,130337,random_walk,6,5.6,123.9
642,130337,window_average,4,3.2,53.3
643,130337,auto_arima,4,2.8,49.6
644,130337,prophet,4,3.6,93.8
645,130484,mean,2,1.9,40.8
646,130484,random_walk,3,2.1,52.8
647,130484,window_average,3,2.2,54.2
648,130484,auto_arima,2,2.0,40.5
649,130484,prophet,2,1.9,40.4
650,130493,mean,4,3.7,396.5
651,130493,random_walk,2,2.1,75.3
652,130493,window_average,2,1.8,94.6
653,130493,auto_arima,2,1.9,122.3
654,130493,prophet,4,3.7,401.2
655,130495,mean,2,1.9,102.1
656,130495,random_walk,2,2.0,54.5
657,130495,window_average,2,1.9,63.8
658,130495,auto_arima,2,1.7,53.7
659,130495,prophet,2,1.9,103.5
660,130496,mean,2,1.9,81.2
661,130496,random_walk,2,1.6,47.7
662,130496,window_average,3,1.9,87.7
663,130496,auto_arima,2,1.9,84.3
664,130496,prophet,2,1.8,60.4
665,1306100310,mean,2,1.9,76.4
666,1306100310,random_walk,3,2.2,100.3
667,1306100310,window_average,3,2.2,74.1
668,1306100310,auto_arima,2,1.9,75.1
669,1306100310,prophet,2,1.9,75.8
670,134122,mean,7,6.1,39.6
671,134122,random_walk,9,8.0,64.4
672,134122,window_average,8,7.1,44.3
673,134122,auto_arima,8,6.4,42.2
674,134122,prophet,7,6.2,37.9
675,134123,mean,42,36.2,29.0
676,134123,random_walk,44,34.3,26.6
677,134123,window_average,39,31.5,21.4
678,134123,auto_arima,39,29.6,22.9
679,134123,prophet,48,39.8,35.4
680,134123BM,mean,4,3.5,36.9
681,134123BM,random_walk,5,4.9,48.0
682,134123BM,window_average,4,3.7,34.4
